Y,X,Z
565152.622,4479340.076,632.792
565157.183,4479345.291,633.648
565150.240,4479349.632,631.299
565155.618,4479351.744,631.661
565151.597,4479354.390,631.161
565153.714,4479362.046,631.469
565158.130,4479360.146,632.304
565150.688,4479358.514,629.519
565147.209,4479360.079,629.390
565145.365,4479355.213,629.392
565113.147,4479367.274,623.678
565105.247,4479375.315,622.579
565099.318,4479384.344,621.706
565102.970,4479395.190,620.417
565105.997,4479403.339,620.452
565105.222,4479407.396,621.419
565110.112,4479417.118,619.779
565112.643,4479422.577,619.133
565120.710,4479433.207,617.355
565124.221,4479442.126,616.452
565123.948,4479451.568,617.469
565123.963,4479454.719,618.303
565129.243,4479463.100,616.965
565135.893,4479471.041,616.030
565144.805,4479477.844,614.305
565153.786,4479484.210,613.057
565158.304,4479488.958,612.154
565167.548,4479496.582,611.071
565175.851,4479498.318,608.543
565183.683,4479501.263,608.237
565192.209,4479502.587,607.777
565197.142,4479502.380,607.347
565205.249,4479501.875,607.660
565206.153,4479503.307,608.001
565206.836,4479508.213,607.805
565206.940,4479510.194,607.424
565175.926,4479511.158,611.059
565181.155,4479516.517,607.148
565190.524,4479514.317,607.042
565197.589,4479512.246,607.181
565202.170,4479510.394,607.535
565202.017,4479509.040,607.962
565200.877,4479504.188,608.164
565190.343,4479505.424,609.177
565189.536,4479509.637,609.406
565177.115,4479510.092,610.873
565177.446,4479504.391,610.880
565171.097,4479521.656,610.933
565167.851,4479524.333,612.497
565163.782,4479525.245,615.021
565160.348,4479524.069,616.663
565156.407,4479518.155,617.163
565152.009,4479510.075,617.637
565145.809,4479503.892,618.499
565144.673,4479497.740,617.685
565143.347,4479493.740,617.841
565136.446,4479487.147,618.620
565129.251,4479480.555,619.907
565119.782,4479472.484,621.888
565111.526,4479466.317,624.369
565108.388,4479464.249,625.862
565101.188,4479461.082,629.699
565095.003,4479460.864,632.364
565089.290,4479456.956,632.214
565084.529,4479452.961,634.770
565077.481,4479449.127,638.485
565063.023,4479436.264,639.845
565053.001,4479429.983,641.937
565045.642,4479424.462,642.507
565034.587,4479417.819,642.610
565024.063,4479410.500,642.542
565016.501,4479404.575,642.349
565010.963,4479398.239,642.084
565008.085,4479392.324,641.434
565006.516,4479383.995,641.171
565007.687,4479378.110,640.076
565010.450,4479373.629,639.191
565014.892,4479367.755,639.333
565017.370,4479365.689,639.954
565017.599,4479369.078,638.768
565016.469,4479376.153,639.183
565010.870,4479375.222,639.089
565007.902,4479381.552,639.649
565011.777,4479381.914,639.264
565016.722,4479381.480,639.143
565020.651,4479385.835,638.795
565023.109,4479384.420,638.269
565016.369,4479392.618,639.615
565015.210,4479393.604,640.406
565015.106,4479397.695,639.759
565019.968,4479398.330,637.425
565024.390,4479391.356,637.291
565028.149,4479390.736,636.838
565029.997,4479393.859,636.584
565028.954,4479398.432,637.314
565026.899,4479403.974,637.258
565029.362,4479403.161,635.519
565033.472,4479397.456,635.623
565037.483,4479403.654,635.545
565034.836,4479407.542,635.542
565042.786,4479414.099,635.515
565046.783,4479412.547,635.622
565054.086,4479418.650,635.194
565052.180,4479420.991,635.291
565058.783,4479426.281,635.058
565060.401,4479423.862,634.976
565068.105,4479428.778,634.164
565065.960,4479431.900,634.168
565071.131,4479436.304,633.537
565075.031,4479434.076,633.562
565077.101,4479437.097,633.534
565078.319,4479442.548,633.191
565019.739,4479361.352,640.640
565024.196,4479354.341,642.790
565025.345,4479351.912,643.601
565034.266,4479341.033,644.637
