X,Y,Z
4483112.793,556411.677,635.803
4483113.568,556412.119,635.765
4483115.248,556413.496,635.795
4483115.423,556413.970,635.850
4483123.796,556421.155,635.780
4483134.361,556425.863,635.806
4483143.376,556434.074,635.783
4483137.396,556448.011,635.850
4483125.557,556442.921,635.721
4483113.801,556438.322,635.719
4483107.662,556435.095,635.693
4483104.489,556432.971,635.770
4483103.998,556432.587,635.691
4483101.887,556431.598,635.586
4483101.641,556431.353,635.675
4483096.063,556429.951,635.633
4483084.507,556433.123,635.657
4483092.879,556440.727,635.648
4483093.122,556441.109,635.549
4483095.427,556443.568,635.631
4483095.905,556444.173,635.677
4483105.382,556451.225,635.604
4483117.753,556459.749,635.690
4482990.754,556397.591,635.377
4482980.691,556397.132,635.342
4482982.013,556407.359,635.338
4482992.619,556413.814,635.344
4483002.007,556423.744,635.268
4483013.164,556430.527,635.329
4483021.996,556440.501,635.396
4483033.577,556447.905,635.365
4483048.159,556453.829,635.444
4483058.103,556463.404,635.426
4483065.767,556470.794,635.500
4483067.534,556472.272,635.469
4483069.290,556473.745,635.473
4483070.512,556474.817,635.514
4483080.575,556486.299,635.409
4483093.607,556495.238,635.270
4483110.269,556498.340,635.350
4483124.750,556504.777,635.572
4483133.932,556512.082,635.525
4483143.149,556518.898,635.595
4483139.068,556532.878,635.415
4483125.490,556526.677,635.327
4483105.131,556521.904,635.345
4483094.720,556511.940,635.470
4483081.802,556507.476,635.180
4483068.716,556498.532,635.310
4483062.472,556487.915,635.396
4483060.278,556486.863,635.385
4483058.224,556485.547,635.370
4483057.668,556485.166,635.419
4483049.070,556480.417,635.396
4483039.924,556473.382,635.299
4483029.757,556466.330,635.256
4483019.829,556458.855,635.247
4483009.712,556451.673,635.300
4483000.666,556443.691,635.236
4482990.846,556435.544,635.206
4482982.590,556427.954,635.203
4482974.263,556425.125,635.208
4482967.064,556419.386,635.261
4482961.218,556417.185,635.276
4482960.633,556412.114,635.262
4482955.902,556422.568,635.204
4482960.662,556427.137,635.177
4482968.724,556440.559,635.084
4482979.630,556449.465,635.142
4482989.890,556459.353,635.236
4483001.207,556469.842,635.160
4483014.535,556481.073,635.195
4483028.236,556492.369,635.182
4483037.572,556498.210,635.258
4483045.974,556502.952,635.256
4483046.271,556503.129,635.208
4483048.545,556504.107,635.184
4483049.298,556504.619,635.265
4483057.022,556512.786,635.185
4483067.125,556517.966,635.239
4483079.307,556526.342,635.249
4483090.003,556536.059,635.227
4483101.989,556544.637,635.245
4483115.025,556549.704,635.331
4483126.896,556554.239,635.249
4483119.437,556566.133,635.316
4483110.914,556564.554,635.380
4483102.661,556560.814,635.214
4483094.781,556558.178,635.181
4483085.681,556555.250,635.273
4483073.858,556545.609,635.252
4483067.091,556536.991,635.163
4483051.190,556521.123,635.129
4483044.789,556515.521,635.147
4483037.254,556512.103,635.175
4483024.536,556506.702,635.316
4483011.461,556496.871,635.119
4482998.028,556489.797,635.116
4482987.047,556479.443,635.140
4482976.765,556471.395,635.103
4482966.207,556459.949,635.087
4482951.977,556448.865,635.058
4482939.299,556450.380,635.046
4482943.161,556460.331,635.049
4482953.158,556469.318,635.043
4482963.807,556479.155,634.985
4482976.763,556492.068,634.898
4482989.962,556501.200,635.239
4482999.844,556511.033,635.172
4483012.572,556522.511,635.197
4483024.440,556529.735,635.147
4483036.794,556539.371,635.067
4483051.289,556545.885,634.876
4483065.595,556556.159,635.078
4483076.119,556562.701,635.128
4483086.383,556572.966,634.993
4483095.547,556582.520,635.162
4483102.337,556586.601,635.314
4483108.436,556591.491,634.920
4483101.760,556601.708,634.951
4483090.866,556594.215,635.076
4483077.431,556585.673,634.847
4483065.280,556580.859,635.044
4483053.842,556574.452,635.093
4483043.868,556565.848,635.046
4483034.797,556558.184,634.880
4483023.987,556550.626,634.964
4483015.218,556540.727,634.961
4483007.186,556531.457,635.008
4482997.604,556521.145,635.137
4482986.245,556513.004,635.109
4482976.461,556503.497,635.136
4482967.095,556496.751,635.088
4482956.176,556489.334,634.940
4482947.357,556481.198,635.022
4482936.057,556473.962,635.012
4482927.762,556481.565,634.882
4482934.053,556480.580,634.976
4482937.386,556487.973,634.922
4482942.848,556495.904,634.932
4482954.608,556505.969,634.938
4482963.655,556511.494,634.974
4482975.628,556519.445,635.107
4482987.087,556530.188,635.045
4482999.578,556538.487,634.972
4483012.086,556552.520,634.889
4483025.728,556562.030,634.863
4483037.985,556570.528,634.943
4483048.090,556582.659,634.990
4483057.827,556590.658,635.028
4483069.578,556598.850,634.839
4483082.253,556604.960,635.008
4483090.748,556610.499,634.903
4483082.059,556621.183,634.705
4483075.373,556619.114,634.715
4483066.977,556613.070,634.836
4483053.482,556609.937,635.009
4483039.426,556600.100,634.905
4483027.446,556593.840,634.875
4483014.001,556589.332,634.886
4483000.610,556578.934,634.771
4482989.810,556563.880,634.856
4482980.633,556554.030,634.818
4482970.961,556544.339,634.951
4482960.523,556531.931,634.929
4482949.893,556524.033,634.877
4482941.015,556517.530,634.995
4482925.256,556507.403,634.897
4482915.313,556496.531,634.869
4482914.121,556494.834,635.626
4482908.470,556494.604,635.418
4482910.487,556484.056,635.627
4482917.658,556484.267,635.770
4482919.177,556484.717,634.975
4482919.994,556473.302,634.876
4482918.246,556473.347,635.928
4482912.939,556473.162,635.819
4482909.552,556460.394,636.076
4482914.448,556461.741,636.131
4482916.086,556462.704,634.991
4482921.898,556448.573,635.226
4482920.725,556448.225,636.408
4482915.244,556443.580,636.323
4482917.063,556435.214,636.380
4482923.935,556435.808,636.510
4482926.339,556436.445,635.121
4482922.695,556419.209,636.518
4482924.190,556417.944,636.289
4482926.072,556418.391,635.166
4482926.129,556397.981,636.724
4482931.327,556399.767,636.319
4482932.359,556401.937,635.067
4482945.174,556388.303,636.172
4482949.946,556394.059,636.302
4482950.308,556395.698,635.398
4482960.119,556388.566,636.207
4482960.801,556393.719,636.206
4482960.792,556396.101,635.219
4482966.568,556390.055,636.171
4482967.762,556392.101,635.595
4482971.126,556383.526,635.368
4482964.170,556380.558,636.159
4482972.557,556359.479,636.334
4482977.528,556362.313,636.342
4482978.788,556363.745,635.381
4482983.994,556344.941,636.270
4482987.509,556347.893,636.403
4482989.240,556349.363,635.479
4482995.534,556330.390,636.263
4483002.395,556331.990,636.453
4483003.937,556333.589,635.514
4483003.810,556320.714,636.593
4483008.446,556321.373,636.441
4483010.785,556323.656,635.507
4483006.959,556306.295,636.493
4483015.075,556312.151,636.368
4483016.383,556313.617,635.393
4483021.068,556292.296,636.473
4483027.605,556298.540,636.248
4483030.356,556301.057,636.204
4483031.406,556302.556,635.584
4483037.299,556280.083,636.586
4483043.269,556292.189,636.171
4483045.209,556296.278,636.150
4483045.390,556297.215,635.700
4483055.732,556274.728,636.432
4483060.030,556287.196,636.316
4483060.657,556290.213,636.214
4483060.899,556291.788,635.744
4483071.934,556290.886,635.783
4483073.539,556288.142,636.347
4483076.141,556278.929,636.560
4483076.394,556274.986,636.923
4483093.390,556270.400,636.553
4483091.779,556282.318,636.850
4483091.294,556283.531,636.265
4483090.103,556289.138,636.186
4483089.926,556290.416,635.796
4483090.764,556299.142,635.830
4483080.424,556307.263,635.798
4483076.499,556316.966,635.800
4483107.553,556299.515,635.984
4483107.766,556292.531,636.053
4483107.621,556289.531,636.332
4483110.839,556292.385,636.200
4483111.559,556286.680,636.670
4483114.782,556276.959,636.528
4483129.997,556281.551,636.515
4483128.075,556294.677,636.489
4483128.070,556295.425,636.168
4483124.756,556300.693,636.169
4483138.629,556297.733,636.227
4483137.714,556292.365,636.321
4483136.895,556291.355,636.500
4483134.643,556293.578,636.548
4483135.085,556295.082,636.248
4483138.592,556279.828,636.441
4483142.060,556282.732,636.335
4483143.680,556284.664,636.197
4482969.631,556566.571,634.729
4482900.711,556523.548,635.033
4482904.670,556523.381,635.098
4482906.564,556522.856,633.856
4482898.444,556516.715,635.292
4482905.293,556518.108,635.388
4482903.833,556508.868,635.431
4482908.807,556510.138,635.475
4482910.016,556510.510,634.909
4482913.436,556521.871,634.801
4482921.714,556530.405,634.864
4482932.101,556546.210,634.832
4482948.254,556561.809,634.762
4482958.487,556574.800,634.645
4482971.707,556591.323,634.524
4482984.211,556604.135,634.813
4482998.842,556615.033,634.843
4483012.946,556626.356,634.723
4483029.103,556637.809,634.812
4483039.042,556644.040,634.946
4483040.209,556644.871,634.472
4483049.681,556630.265,634.833
4483050.180,556631.004,634.655
4483050.680,556629.138,634.785
4483047.890,556650.069,634.526
4483060.736,556662.074,634.586
4483071.229,556668.253,634.666
4483068.720,556687.851,634.549
4483054.209,556673.725,634.654
4483039.013,556662.179,634.437
4483033.050,556659.219,634.300
4483031.954,556658.848,634.757
4483020.327,556648.538,634.704
4483007.981,556636.046,634.717
4482992.300,556626.190,634.755
4482977.912,556616.661,634.645
4482963.029,556606.119,634.554
4482950.578,556593.824,634.495
4482939.677,556581.277,634.685
4482925.720,556568.324,634.636
4482914.953,556557.103,634.724
4482910.028,556554.201,634.649
4482909.526,556554.033,634.755
4482897.433,556549.053,634.667
4482885.265,556542.910,634.883
4482876.365,556556.883,635.164
4482875.405,556558.522,634.948
4482887.909,556567.830,634.630
4482890.361,556566.117,634.946
4482894.932,556568.256,634.844
4482894.074,556569.282,634.595
4482895.899,556569.615,634.758
4482907.757,556575.427,634.723
4482921.093,556582.891,634.697
4482934.515,556594.828,634.506
4482945.802,556605.435,634.542
4482962.698,556624.708,634.600
4482974.269,556639.502,634.628
4482991.119,556652.169,634.522
4483008.184,556665.372,634.695
4483023.274,556672.126,634.884
4483025.863,556673.492,634.472
4483038.878,556684.147,634.587
4483052.281,556692.425,634.483
4483062.929,556705.428,634.574
4483047.512,556724.892,634.328
4483039.049,556714.014,634.187
4483030.356,556702.435,634.520
4483018.673,556693.806,634.215
4483015.946,556692.285,634.712
4483001.634,556685.575,634.659
4482985.684,556677.380,634.358
4482971.464,556666.401,634.409
4482961.329,556658.483,634.406
4482948.212,556646.238,634.144
4482933.542,556636.926,634.445
4482922.607,556627.695,634.340
4482915.089,556615.317,634.363
4482904.566,556604.755,634.391
4482895.771,556595.388,634.597
4482884.804,556587.121,634.551
4482876.177,556581.190,634.611
4482866.569,556584.641,634.673
4482865.089,556584.057,635.010
4482858.776,556579.563,634.943
4482851.600,556603.297,634.749
4482857.909,556602.668,634.956
4482860.544,556597.310,634.981
4482861.281,556597.552,634.542
4482874.628,556605.357,634.398
4482892.032,556620.698,634.454
4482912.235,556640.998,634.329
4482934.769,556656.213,634.375
4482946.049,556670.909,634.184
