"Y,""X"",""Z"""
"556673.803,""4482848.086"",""634.464"""
"556685.602,""4482856.127"",""634.549"""
"556702.707,""4482869.166"",""634.396"""
"556702.570,""4482870.574"",""634.127"""
"556693.120,""4482890.002"",""634.151"""
"556690.731,""4482906.385"",""634.153"""
"556690.956,""4482920.319"",""634.166"""
"556673.735,""4482933.745"",""634.160"""
"556658.522,""4482943.716"",""634.112"""
"556647.061,""4482957.298"",""634.459"""
"556635.459,""4482970.314"",""634.361"""
"556627.579,""4482982.751"",""634.711"""
"556615.982,""4482988.183"",""634.481"""
"556602.609,""4482997.816"",""634.641"""
"556585.060,""4483001.299"",""634.853"""
"556569.560,""4483006.831"",""634.796"""
"556558.783,""4483021.183"",""634.896"""
"556546.887,""4483032.229"",""634.945"""
"556525.257,""4483041.170"",""634.973"""
"556507.551,""4483044.915"",""635.163"""
"556492.037,""4483055.256"",""635.348"""
"556476.120,""4483064.546"",""635.486"""
"556461.440,""4483078.246"",""635.516"""
"556447.557,""4483088.326"",""635.524"""
"556424.376,""4483107.736"",""635.660"""
"556404.942,""4483118.611"",""635.796"""
"556394.500,""4483127.366"",""635.869"""
"556379.482,""4483137.031"",""635.840"""
"556356.900,""4483150.633"",""636.028"""
"556343.521,""4483158.306"",""636.134"""
"556328.523,""4483169.738"",""636.298"""
"556328.765,""4483174.876"",""636.469"""
"556304.525,""4483178.731"",""636.396"""
"556288.947,""4483176.268"",""636.399"""
"556276.794,""4483179.435"",""636.406"""
"556262.502,""4483183.472"",""636.433"""
"556235.868,""4483189.117"",""636.612"""
"556223.813,""4483192.795"",""636.672"""
"556307.159,""4483029.215"",""635.560"""
"556308.567,""4483032.512"",""635.530"""
"556323.237,""4483139.167"",""636.280"""
"556326.377,""4483132.989"",""636.270"""
"556331.822,""4483132.574"",""636.250"""
"556342.717,""4483132.583"",""636.270"""
"556346.926,""4483125.757"",""636.280"""
"556346.034,""4483122.320"",""636.280"""
"556333.741,""4483121.504"",""636.320"""
"556338.187,""4483118.078"",""636.110"""
"556343.565,""4483113.214"",""636.140"""
"556336.571,""4483108.710"",""636.050"""
"556326.848,""4483108.042"",""636.220"""
"556334.256,""4483097.300"",""636.020"""
"556316.572,""4483075.249"",""635.830"""
"556320.482,""4483070.417"",""636.050"""
"556312.644,""4483068.030"",""635.860"""
"556302.404,""4483069.015"",""635.940"""
"556303.887,""4483077.227"",""635.950"""
"556305.123,""4483082.604"",""635.970"""
"556299.713,""4483067.353"",""635.810"""
"556295.948,""4483059.577"",""635.960"""
"556295.530,""4483052.631"",""635.720"""
"556298.187,""4483054.557"",""635.810"""
"556299.122,""4483049.119"",""635.810"""
"556304.955,""4483047.502"",""635.820"""
"556304.714,""4483056.163"",""635.840"""
"556311.864,""4483059.136"",""635.850"""
"556313.503,""4483071.890"",""635.950"""
"556320.573,""4483084.521"",""635.690"""
"556327.252,""4483089.353"",""636.010"""
"556324.044,""4483094.219"",""635.900"""
"556329.185,""4483102.205"",""636.060"""
"556348.322,""4483116.399"",""636.200"""
"556352.848,""4483111.601"",""636.070"""
"556354.843,""4483100.071"",""636.170"""
"556361.305,""4483092.178"",""635.940"""
"556357.322,""4483088.353"",""635.990"""
"556368.560,""4483080.235"",""635.850"""
"556356.364,""4483076.531"",""635.820"""
"556350.779,""4483074.240"",""635.800"""
"556369.869,""4483072.679"",""635.790"""
"556365.424,""4483066.265"",""635.730"""
"556373.150,""4483067.048"",""635.670"""
"556371.816,""4483061.742"",""635.600"""
"556379.475,""4483059.296"",""635.580"""
"556376.719,""4483056.284"",""635.670"""
"556370.964,""4483052.752"",""635.780"""
"556364.795,""4483049.285"",""635.640"""
"556382.619,""4483050.991"",""635.760"""
"556382.954,""4483044.165"",""635.650"""
"556394.929,""4483020.421"",""635.430"""
"556393.238,""4483015.002"",""635.460"""
"556391.470,""4483008.985"",""635.480"""
"556394.290,""4483005.915"",""635.470"""
"556396.000,""4483001.646"",""635.490"""
"556383.191,""4483007.083"",""635.510"""
"556381.583,""4483011.331"",""635.500"""
"556380.473,""4483014.243"",""635.500"""
"556310.293,""4483022.201"",""635.670"""
"556323.991,""4483015.228"",""635.670"""
"556336.871,""4483002.329"",""635.380"""
"556340.055,""4483008.134"",""635.340"""
"556341.724,""4483016.285"",""635.430"""
"556343.631,""4483025.727"",""635.460"""
"556341.353,""4483030.356"",""635.490"""
"556336.136,""4483039.884"",""635.440"""
"556330.893,""4483048.669"",""635.560"""
"556325.341,""4483056.583"",""635.610"""
"556317.125,""4483065.652"",""635.780"""
"556312.192,""4483085.726"",""635.870"""
"556324.405,""4483100.162"",""635.950"""
"556332.525,""4483113.283"",""636.000"""
"556311.652,""4483092.147"",""635.720"""
"556314.714,""4483098.467"",""635.840"""
"556312.985,""4483112.459"",""635.940"""
"556309.838,""4483115.509"",""636.070"""
"556309.895,""4483125.064"",""636.100"""
"556223.237,""4483188.642"",""636.773"""
"556312.925,""4483189.126"",""636.787"""
"556390.922,""4483138.689"",""635.992"""
"556462.251,""4483085.897"",""635.611"""
"556530.999,""4483024.935"",""635.202"""
"556600.635,""4482991.313"",""634.850"""
"556709.707,""4482923.063"",""634.287"""
"556796.395,""4482885.426"",""633.911"""
