"Y,""X"",""Z"""
"556406.868,""4483050.486"",""635.551"""
"556415.866,""4483061.206"",""635.708"""
"556425.220,""4483050.112"",""635.659"""
"556415.193,""4483037.867"",""635.519"""
"556404.206,""4483029.961"",""635.534"""
"556402.145,""4483025.083"",""635.416"""
"556399.740,""4483001.620"",""635.358"""
"556406.525,""4483012.112"",""635.412"""
"556417.192,""4483023.009"",""635.364"""
"556427.770,""4483035.753"",""635.470"""
"556436.788,""4483044.948"",""635.505"""
"556444.646,""4483054.586"",""635.548"""
"556434.111,""4483065.130"",""635.613"""
"556454.547,""4483063.475"",""635.490"""
"556445.511,""4483075.063"",""635.587"""
"556451.996,""4483082.270"",""635.536"""
"556453.888,""4483084.154"",""635.544"""
"556454.343,""4483084.765"",""635.625"""
"556461.644,""4483094.119"",""635.594"""
"556468.782,""4483104.685"",""635.573"""
"556476.535,""4483112.713"",""635.503"""
"556486.916,""4483121.881"",""635.574"""
"556492.032,""4483133.647"",""635.526"""
"556497.126,""4483144.114"",""635.686"""
"556503.397,""4483154.994"",""635.733"""
"556491.351,""4483150.175"",""635.900"""
"556488.812,""4483154.380"",""635.289"""
"556480.899,""4483145.246"",""635.736"""
"556480.216,""4483146.549"",""635.313"""
"556467.235,""4483141.407"",""635.883"""
"556467.105,""4483142.844"",""635.521"""
"556473.807,""4483133.478"",""635.667"""
"556458.045,""4483123.015"",""635.768"""
"556449.456,""4483133.430"",""635.875"""
"556443.963,""4483139.232"",""635.919"""
"556445.386,""4483141.926"",""635.532"""
"556451.677,""4483148.361"",""635.780"""
"556459.962,""4483156.436"",""635.256"""
"556455.001,""4483160.547"",""635.422"""
"556447.424,""4483156.112"",""635.448"""
"556436.546,""4483163.024"",""635.588"""
"556438.785,""4483173.831"",""635.616"""
"556442.061,""4483178.100"",""635.750"""
"556427.265,""4483185.370"",""635.649"""
"556419.330,""4483177.920"",""635.747"""
"556407.506,""4483178.956"",""635.653"""
"556413.203,""4483191.173"",""635.882"""
"556416.711,""4483195.795"",""635.673"""
"556413.121,""4483207.422"",""635.757"""
"556404.748,""4483196.643"",""635.902"""
"556400.703,""4483189.757"",""635.782"""
"556399.092,""4483213.036"",""635.841"""
"556396.918,""4483198.897"",""635.759"""
"556388.129,""4483195.575"",""636.187"""
"556380.448,""4483189.543"",""636.119"""
"556378.271,""4483175.713"",""636.036"""
"556372.306,""4483162.458"",""635.988"""
"556367.837,""4483151.304"",""635.946"""
"556365.204,""4483147.975"",""635.990"""
"556364.168,""4483145.133"",""635.994"""
"556363.215,""4483140.744"",""636.035"""
